sku,product_name,category,current_stock,unit_cost,lead_time_days,service_level
SKU001,Café Premium 500g,Bebidas,120,8.5,7,0.95
SKU002,Azúcar estándar 1kg,Abarrotes,80,2.1,5,0.9
SKU003,Leche entera 1L,Lácteos,45,1.3,3,0.95
SKU004,Arroz 1kg,Abarrotes,150,1.8,6,0.9
SKU005,Aceite vegetal 1L,Abarrotes,60,4.2,8,0.95
SKU006,Pasta spaghetti 500g,Abarrotes,110,1.1,4,0.9
SKU007,Atún en lata,Enlatados,95,1.75,6,0.95
SKU008,Galletas surtidas,Snacks,140,1.25,5,0.9
SKU009,Jugo naranja 1L,Bebidas,70,2.4,4,0.95
SKU010,Yogurt natural,Lácteos,55,0.95,3,0.95
SKU011,Cereal familiar,Abarrotes,75,3.8,7,0.9
SKU012,Harina de trigo 1kg,Abarrotes,130,1.45,6,0.9
SKU013,Detergente 1kg,Limpieza,65,5.6,10,0.95
SKU014,Jabón líquido,Limpieza,85,3.2,8,0.9
SKU015,Papel higiénico 4pz,Higiene,100,4.75,9,0.95
SKU016,Shampoo 400ml,Higiene,50,3.9,7,0.9
SKU017,Agua mineral 1.5L,Bebidas,160,0.85,3,0.95
SKU018,Chocolate barra,Snacks,90,1.6,5,0.9
SKU019,Frijol negro 1kg,Abarrotes,105,2.3,6,0.9
SKU020,Salsa tomate 400g,Enlatados,115,1.35,4,0.9
