date,sku,units_sold
2025-01-01,SKU001,12
2025-01-01,SKU002,6
2025-01-01,SKU003,11
2025-01-01,SKU004,6
2025-01-01,SKU005,6
2025-01-01,SKU006,9
2025-01-01,SKU007,7
2025-01-01,SKU008,8
2025-01-01,SKU009,7
2025-01-01,SKU010,6
2025-01-01,SKU011,4
2025-01-01,SKU012,6
2025-01-01,SKU013,3
2025-01-01,SKU014,4
2025-01-01,SKU015,6
2025-01-01,SKU016,3
2025-01-01,SKU017,10
2025-01-01,SKU018,7
2025-01-01,SKU019,6
2025-01-01,SKU020,5
2025-01-02,SKU001,13
2025-01-02,SKU002,8
2025-01-02,SKU003,12
2025-01-02,SKU004,6
2025-01-02,SKU005,6
2025-01-02,SKU006,8
2025-01-02,SKU007,5
2025-01-02,SKU008,8
2025-01-02,SKU009,8
2025-01-02,SKU010,8
2025-01-02,SKU011,5
2025-01-02,SKU012,7
2025-01-02,SKU013,3
2025-01-02,SKU014,5
2025-01-02,SKU015,5
2025-01-02,SKU016,3
2025-01-02,SKU017,14
2025-01-02,SKU018,7
2025-01-02,SKU019,6
2025-01-02,SKU020,6
2025-01-03,SKU001,15
2025-01-03,SKU002,7
2025-01-03,SKU003,14
2025-01-03,SKU004,8
2025-01-03,SKU005,5
2025-01-03,SKU006,9
2025-01-03,SKU007,6
2025-01-03,SKU008,11
2025-01-03,SKU009,9
2025-01-03,SKU010,9
2025-01-03,SKU011,5
2025-01-03,SKU012,6
2025-01-03,SKU013,4
2025-01-03,SKU014,6
2025-01-03,SKU015,7
2025-01-03,SKU016,3
2025-01-03,SKU017,12
2025-01-03,SKU018,10
2025-01-03,SKU019,5
2025-01-03,SKU020,7
2025-01-04,SKU001,17
2025-01-04,SKU002,10
2025-01-04,SKU003,16
2025-01-04,SKU004,9
2025-01-04,SKU005,8
2025-01-04,SKU006,12
2025-01-04,SKU007,6
2025-01-04,SKU008,10
2025-01-04,SKU009,8
2025-01-04,SKU010,8
2025-01-04,SKU011,5
2025-01-04,SKU012,9
2025-01-04,SKU013,5
2025-01-04,SKU014,5
2025-01-04,SKU015,7
2025-01-04,SKU016,3
2025-01-04,SKU017,18
2025-01-04,SKU018,8
2025-01-04,SKU019,6
2025-01-04,SKU020,7
2025-01-05,SKU001,14
2025-01-05,SKU002,8
2025-01-05,SKU003,17
2025-01-05,SKU004,10
2025-01-05,SKU005,6
2025-01-05,SKU006,9
2025-01-05,SKU007,9
2025-01-05,SKU008,13
2025-01-05,SKU009,7
2025-01-05,SKU010,7
2025-01-05,SKU011,4
2025-01-05,SKU012,8
2025-01-05,SKU013,5
2025-01-05,SKU014,5
2025-01-05,SKU015,5
2025-01-05,SKU016,3
2025-01-05,SKU017,19
2025-01-05,SKU018,9
2025-01-05,SKU019,8
2025-01-05,SKU020,9
2025-01-06,SKU001,8
2025-01-06,SKU002,9
2025-01-06,SKU003,14
2025-01-06,SKU004,7
2025-01-06,SKU005,5
2025-01-06,SKU006,9
2025-01-06,SKU007,5
2025-01-06,SKU008,10
2025-01-06,SKU009,7
2025-01-06,SKU010,10
2025-01-06,SKU011,5
2025-01-06,SKU012,5
2025-01-06,SKU013,3
2025-01-06,SKU014,4
2025-01-06,SKU015,6
2025-01-06,SKU016,3
2025-01-06,SKU017,11
2025-01-06,SKU018,7
2025-01-06,SKU019,5
2025-01-06,SKU020,5
2025-01-07,SKU001,13
